"Player","Team","REC","YDS","TDS","FL","FPTS"
"Jeremy Sprinkle","DAL","6.9","71.4","0.5","0.0","13.6"
"J.P. Holtz","CHI","5.9","73.3","0.5","0.0","13.3"
"Daniel Brown","NYJ","5.4","63.7","0.5","0.0","12.1"
"Richard Rodgers","PHI","5.0","65.7","0.5","0.0","11.8"
"Charlie Woerner","SF","5.4","63.9","0.4","0.0","11.7"
"Stephen Anderson","LAC","5.3","65.6","0.4","0.0","11.6"
"Zach Gentry","PIT","6.1","55.0","0.5","0.0","11.4"
"Johnny Mundt","LAR","5.3","56.9","0.5","0.0","11.2"
"Jesse James","CHI","6.1","51.4","0.5","0.0","11.0"
"Antony Auclair","HOU","4.9","54.6","0.5","0.0","10.9"
"Noah Togiai","IND","5.4","53.8","0.4","0.0","10.7"
"Colby Parkinson","SEA","4.9","51.1","0.5","0.0","10.7"
"Josiah Deguara","GB","4.3","47.1","0.4","0.1","9.2"
"Josh Oliver","BAL","4.0","41.6","0.4","0.0","8.6"
"Ben Ellefson","JAC","4.2","42.0","0.3","0.0","8.3"
"Ross Travis","ARI","3.9","42.2","0.4","0.0","8.2"
"Luke Stocker","TEN","3.9","37.6","0.4","0.0","7.8"
"Alize Mack","DET","4.0","39.4","0.2","0.0","7.2"
"Mason Schreck","CIN","3.5","36.2","0.3","0.0","6.9"
"Nick Keizer","KC","4.0","44.0","0.0","0.0","6.4"
"Sean McKeon","DAL","2.7","28.5","0.2","0.0","5.4"
"Dominique Dafney","GB","2.4","25.7","0.2","0.0","5.1"
"Lee Smith","ATL","2.6","24.9","0.2","0.0","4.9"
"Garrett Griffin","NO","2.3","25.6","0.2","0.0","4.7"
"Cethan Carter","MIA","2.4","24.1","0.1","0.0","4.4"
"Trevon Wesco","NYJ","2.3","24.3","0.1","0.0","4.3"
"Eric Saubert","DEN","2.3","22.7","0.1","0.0","4.2"
"Kaden Smith","NYG","2.5","22.1","0.1","0.0","4.2"
"Jaeden Graham","ATL","3.0","25.0","0.0","0.0","4.0"
"Ricky Seals-Jones","WAS","1.5","18.3","0.2","0.0","3.6"
"Zach Davidson","MIN","1.7","17.6","0.1","0.0","3.4"
"Tanner Hudson","TB","1.5","15.7","0.2","0.0","3.2"
"Deon Yelder","WAS","1.3","14.1","0.2","0.0","3.0"
"Troy Fumagalli","NE","1.4","12.7","0.2","0.0","2.9"
"Temarrick Hemingway","WAS","1.4","16.1","0.1","0.0","2.8"
"Brandon Dillon","MIN","1.3","13.8","0.1","0.0","2.6"
"Eric Tomlinson","BAL","1.2","11.7","0.1","0.0","2.2"
"Codey McElroy","TB","0.9","8.6","0.1","0.0","1.9"
"Isaac Nauta","GB","0.8","8.3","0.1","0.0","1.8"
"Kevin Rader","PIT","0.9","8.8","0.0","0.0","1.6"
"Tyrone Swoopes","WAS","0.9","9.6","0.0","0.0","1.4"
"Tim Tebow","JAC","0.9","8.4","0.0","0.0","1.3"
"MyCole Pruitt","SF","0.9","8.4","0.0","0.0","1.3"
"Hakeem Butler","PHI","0.8","8.4","0.0","0.0","1.3"
"Jason Croom","PHI","0.8","8.5","0.0","0.0","1.3"
"Jordan Franks","CLE","0.8","8.0","0.0","0.0","1.3"
"Jesper Horsted","CHI","0.8","8.5","0.0","0.0","1.2"
"Cole Hikutini","NYG","0.8","7.2","0.0","0.0","1.1"
"Matt LaCosse","NE","0.7","6.8","0.0","0.0","1.0"
"Colin Thompson","CAR","0.7","6.8","0.0","0.0","1.0"
""
""
