"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Devontae Booker","NYG","77.5","326.8","2.0","10.9","71.0","0.2","0.7","56.9"
"Rex Burkhead","HOU","35.7","150.5","1.4","18.8","171.4","1.3","0.6","56.6"
"Justin Jackson","LAC","69.4","313.1","1.4","13.3","94.6","0.3","0.6","56.6"
"Cordarrelle Patterson","ATL","49.2","225.1","1.4","15.1","133.1","0.7","0.2","55.8"
"Jake Funk","LAR","48.6","202.1","2.2","14.1","113.1","0.5","0.3","54.5"
"Kyle Juszczyk","SF","13.9","52.6","0.7","21.9","230.3","2.0","0.7","53.9"
"DeeJay Dallas","SEA","48.4","193.6","1.6","16.7","122.6","0.9","0.6","53.6"
"Chuba Hubbard","CAR","61.8","261.0","2.0","10.6","86.0","0.4","1.1","52.0"
"Mark Ingram II","HOU","57.6","236.1","1.8","11.0","91.1","0.7","0.6","51.8"
"Rhamondre Stevenson","NE","60.6","263.8","2.1","9.7","73.1","0.4","1.1","51.4"
"Kenneth Gainwell","PHI","54.4","248.4","1.7","11.9","94.0","0.5","1.1","50.9"
"Wayne Gallman","SF","52.9","235.2","2.4","9.2","71.7","0.4","1.0","50.4"
"Larry Rountree III","LAC","57.2","240.6","2.2","9.2","69.8","0.3","0.3","50.0"
"Trayveon Williams","CIN","48.2","206.2","1.3","14.0","112.7","0.5","1.5","46.7"
"Brian Hill","TEN","57.0","285.6","1.2","7.6","55.6","0.2","0.7","45.4"
"Samaje Perine","CIN","51.2","216.4","1.5","9.0","61.4","0.2","0.1","42.2"
"Javian Hawkins","ATL","58.6","241.3","1.9","4.6","35.4","0.1","0.2","41.5"
"Mike Boone","DEN","48.0","228.1","1.8","6.4","43.3","0.1","0.6","40.6"
"Benny Snell Jr.","PIT","59.9","222.1","1.8","6.4","43.4","0.1","0.6","39.9"
"Peyton Barber","WAS","59.1","209.4","2.2","5.0","33.0","0.1","0.6","39.4"
"Matt Breida","BUF","43.6","189.2","1.0","9.6","76.6","0.4","1.1","37.5"
"Jalen Richard","LV","23.7","103.6","0.5","16.3","129.1","0.4","0.6","35.8"
"Carlos Hyde","JAC","52.6","213.6","1.4","6.3","36.6","0.1","0.6","35.7"
"Brandon Bolden","NE","19.4","98.7","2.3","4.9","48.9","0.6","0.0","34.6"
"Jermar Jefferson","DET","27.9","113.8","0.8","10.6","78.6","0.1","0.1","29.9"
"Johnny Stanton","CLE","20.0","100.0","1.0","9.0","70.0","0.0","0.0","27.5"
"Elijah Mitchell","SF","26.9","124.7","0.8","5.8","52.0","0.2","0.1","26.3"
"Raymond Calais","LAR","29.2","123.0","1.1","4.6","35.4","0.2","0.1","26.1"
"Jaylen Samuels","PIT","26.4","110.6","0.6","7.8","51.9","0.3","0.1","25.8"
"La'Mical Perine","NYJ","32.4","136.7","1.0","4.3","31.4","0.2","0.2","25.3"
"Anthony McFarland Jr.","PIT","30.2","115.8","0.5","5.7","45.1","0.1","0.6","21.6"
"Jerick McKinnon","KC","21.5","95.1","0.4","6.7","48.2","0.2","0.1","21.4"
"Chris Evans","CIN","24.8","98.4","0.5","4.5","33.8","0.2","0.2","18.8"
"Justice Hill","BAL","19.1","87.8","0.6","4.3","30.9","0.1","0.1","18.1"
"Eno Benjamin","ARI","21.9","93.7","0.6","3.4","27.0","0.1","0.1","17.3"
"Ameer Abdullah","MIN","15.4","68.7","0.1","6.3","44.0","0.4","0.0","17.1"
"Kylin Hill","GB","25.2","101.9","0.3","3.7","27.8","0.1","0.1","16.9"
"Dontrell Hilliard","HOU","12.3","44.5","1.0","4.9","36.2","0.0","0.0","16.5"
"Kerryon Johnson","PHI","22.1","86.0","0.5","3.7","29.2","0.1","0.2","16.4"
"Jeremy McNichols","TEN","19.4","87.4","0.3","3.6","22.8","0.0","0.0","14.8"
"Travis Homer","SEA","16.3","68.8","0.3","4.1","30.4","0.1","0.1","14.3"
"Trey Edmunds","PIT","14.8","64.0","0.4","3.9","25.8","0.2","0.0","14.3"
"Lamar Miller","WAS","14.9","61.5","0.8","2.4","18.9","0.0","0.0","14.2"
"Patrick Ricard","BAL","0.9","1.4","0.0","8.5","58.1","0.8","0.5","14.0"
"Gerrid Doaks","MIA","12.2","51.0","0.4","4.4","32.7","0.1","0.1","13.8"
"JaMycal Hasty","SF","15.1","77.6","0.4","2.2","15.1","0.1","0.0","13.4"
"Alec Ingold","LV","4.5","18.8","0.2","6.6","54.5","0.3","0.1","13.1"
"Jordan Howard","PHI","14.9","64.4","1.0","0.4","4.6","0.0","0.0","13.1"
