"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"A.J. Green","ARI","50.6","619.9","3.9","0.0","0.0","0.0","0.7","109.4"
"Randall Cobb","GB","50.6","611.9","3.8","1.5","7.6","0.0","0.7","108.9"
"Christian Kirk","ARI","48.0","582.2","4.1","3.9","26.9","0.0","0.6","108.6"
"Jamison Crowder","NYJ","53.1","594.0","3.6","0.3","3.3","0.0","0.6","106.4"
"John Brown","LV","46.4","627.9","3.6","0.3","1.0","0.0","0.6","106.2"
"Rashod Bateman","BAL","43.8","578.9","4.4","0.8","4.8","0.0","0.6","105.1"
"Rondale Moore","ARI","49.8","616.0","3.4","1.1","6.1","0.0","1.2","105.1"
"Parris Campbell","IND","44.3","536.6","3.3","4.8","30.0","0.1","0.4","98.8"
"Terrace Marshall Jr.","CAR","44.7","583.7","3.2","0.5","2.8","0.0","1.1","98.1"
"Darius Slayton","NYG","42.1","568.7","3.5","0.8","2.6","0.0","0.6","97.9"
"Allen Lazard","GB","40.8","551.3","3.7","1.3","9.7","0.0","0.6","97.4"
"DeSean Jackson","LAR","35.5","560.1","3.6","2.8","17.1","0.1","0.6","96.4"
"Jakobi Meyers","NE","45.2","573.1","2.5","0.8","4.1","0.0","0.4","95.0"
"Hunter Renfrow","LV","42.5","510.4","2.9","0.0","0.0","0.0","0.6","88.4"
"Van Jefferson","LAR","39.3","475.1","3.3","1.4","5.8","0.0","0.1","87.9"
"Anthony Miller","HOU","41.9","499.6","2.7","2.2","10.3","0.1","0.7","87.4"
"Josh Reynolds","TEN","36.1","469.1","3.1","0.8","4.5","0.0","0.6","82.8"
"Denzel Mims","NYJ","35.4","502.7","2.3","0.3","0.8","0.0","0.1","82.0"
"Keelan Cole Sr.","NYJ","37.0","475.9","2.6","0.0","0.0","0.0","0.5","81.0"
"Marquez Callaway","NO","37.4","456.8","2.8","0.0","0.0","0.0","0.2","80.7"
"Chris Conley","HOU","34.7","489.3","2.6","0.0","0.0","0.0","0.6","80.7"
"Sammy Watkins","BAL","34.9","428.8","3.3","0.8","7.5","0.0","0.6","79.9"
"Amon-Ra St. Brown","DET","38.1","461.0","2.3","0.0","0.0","0.0","0.2","78.7"
"D'Wayne Eskridge","SEA","34.1","419.4","3.2","1.5","8.1","0.1","0.2","78.6"
"James Washington","PIT","33.3","452.2","2.9","0.0","0.0","0.0","0.6","78.1"
"Marquez Valdes-Scantling","GB","25.7","438.1","3.3","2.5","14.8","0.0","0.6","77.2"
"Demarcus Robinson","KC","34.2","410.8","3.2","0.0","0.0","0.0","0.6","76.2"
"Geronimo Allison","DET","38.9","419.4","2.3","0.0","0.0","0.0","0.0","74.9"
"Rashard Higgins","CLE","28.8","432.1","2.9","0.0","0.0","0.0","0.6","73.8"
"Zach Pascal","IND","28.3","383.8","3.1","0.3","2.0","0.0","0.0","71.0"
"Jalen Guyton","LAC","27.4","419.5","2.3","2.0","7.9","0.1","0.1","70.3"
"Josh Palmer","LAC","30.0","416.7","2.5","1.0","6.0","0.0","1.0","70.2"
"Nico Collins","HOU","31.0","419.3","2.1","0.0","0.0","0.0","0.3","69.8"
"KJ Hamler","DEN","30.2","361.5","2.4","8.9","43.9","0.2","0.6","69.5"
"Kendrick Bourne","NE","31.6","400.7","2.3","0.0","0.0","0.0","0.1","69.1"
"Kadarius Toney","NYG","29.9","356.8","1.9","6.6","39.9","0.2","0.3","66.8"
"Keke Coutee","HOU","34.2","391.6","2.0","0.7","3.7","0.3","2.2","66.2"
"Tim Patrick","DEN","28.4","375.2","2.5","0.0","0.0","0.0","0.6","65.4"
"Olamide Zaccheaus","ATL","27.0","394.3","2.0","0.3","1.4","0.0","0.1","64.6"
"Bryan Edwards","LV","26.5","369.0","2.1","0.0","0.0","0.0","0.2","62.4"
"Mohamed Sanu","SF","32.8","339.1","2.0","1.3","5.7","0.0","0.5","61.7"
"Deonte Harris","NO","27.9","315.8","1.7","7.3","47.8","0.1","0.2","60.6"
"Preston Williams","MIA","24.5","314.6","2.9","0.0","0.0","0.0","0.6","60.1"
"Adam Humphries","WAS","30.2","329.1","1.6","0.0","0.0","0.0","0.1","57.3"
"Tyron Johnson","LAC","19.9","311.3","2.1","2.3","13.0","0.0","0.1","55.2"
"Richie James Jr.","SF","23.8","364.3","1.5","0.8","0.0","0.0","2.1","52.9"
"Quintez Cephus","DET","23.9","316.6","1.5","0.0","0.0","0.0","0.2","52.2"
"Damiere Byrd","CHI","26.7","304.7","1.5","0.3","2.0","0.0","0.6","52.2"
"Byron Pringle","KC","22.6","290.1","2.0","0.0","0.0","0.0","0.2","52.1"
"Dyami Brown","WAS","22.2","309.1","1.7","0.0","0.0","0.0","0.2","51.9"
"Travis Fulgham","PHI","23.0","297.6","1.6","0.0","0.0","0.0","0.1","51.0"
"Tutu Atwell","LAR","21.5","279.8","1.4","0.0","0.0","0.0","0.2","46.6"
"Scotty Miller","TB","17.0","244.7","1.8","1.4","7.7","0.1","0.1","45.1"
"Isaiah McKenzie","BUF","18.9","200.7","1.9","5.7","28.5","0.2","0.1","45.0"
"Auden Tate","CIN","20.5","259.9","1.4","0.0","0.0","0.0","0.1","44.6"
"Isaiah Coulter","HOU","18.3","275.6","1.5","1.0","4.0","0.0","1.0","44.1"
"Amari Rodgers","GB","18.2","223.1","1.3","2.0","12.4","0.1","0.2","40.8"
"Donovan Peoples-Jones","CLE","17.1","225.5","1.2","0.0","0.0","0.0","0.1","38.3"
"Greg Ward","PHI","21.1","208.9","1.2","0.0","0.0","0.0","0.2","38.0"
"N'Keal Harry","NE","15.4","187.0","1.3","0.9","5.6","0.0","0.1","35.0"
"Devin Duvernay","BAL","16.7","183.8","1.2","1.7","11.7","0.0","0.1","35.0"
"Dez Fitzpatrick","TEN","15.3","199.9","1.0","0.0","0.0","0.0","0.1","33.5"
"Marquise Goodwin","CHI","15.0","197.9","1.0","0.0","0.0","0.0","0.1","33.4"
"Collin Johnson","JAC","15.6","189.6","0.8","0.0","0.0","0.0","0.1","31.1"
"Phillip Dorsett II","JAC","14.3","173.4","1.1","0.0","0.0","0.0","0.1","30.9"
"Willie Snead IV","LV","14.5","167.8","0.9","0.0","0.0","0.0","0.1","29.1"
"David Moore","CAR","11.7","160.7","1.0","1.2","7.7","0.0","0.1","28.5"
"Freddie Swain","SEA","12.4","155.7","1.0","0.0","0.0","0.0","0.1","27.8"
"Ty Montgomery","NO","12.7","105.9","0.6","12.8","53.8","0.3","0.1","27.7"
"Dede Westbrook","MIN","12.0","127.7","1.0","0.7","3.6","0.0","0.1","25.1"
"Christian Blake","ATL","12.5","146.4","0.5","0.0","0.0","0.0","0.1","23.7"
"KeeSean Johnson","ARI","10.7","122.2","1.0","0.0","0.0","0.0","0.0","23.5"
"Andy Isabella","ARI","11.0","136.6","0.7","0.0","0.0","0.0","0.0","23.4"
"Ray-Ray McCloud","PIT","11.3","113.5","0.7","3.0","19.1","0.1","0.2","23.0"
"Lynn Bowden Jr.","MIA","10.8","98.8","0.2","10.2","49.3","0.2","0.1","22.7"
"Cedrick Wilson","DAL","9.8","127.9","0.7","0.0","0.0","0.0","0.1","21.6"
"Chris Moore","HOU","10.5","120.8","0.7","0.0","0.0","0.0","0.0","21.6"
"Miles Boykin","BAL","8.8","118.9","0.7","0.8","4.9","0.0","0.1","20.8"
